genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
AG-900-I13	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-D03	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	906	927	906	927	906	927	0.91	0.87	0.91	0.87	0.91	0.87	0.87	0.87	0.87	NA	NA	NA
AG-918-G22	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-F15	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	splendidus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-F15	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-G07	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15	ANI>=95% and AAI>=95% with AG-894-F15	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AG-894-F15	99.19665	99.52
GOM-A1	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-N09	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	904	902	904	902	904	902	0.57	0.88	0.57	0.88	0.57	0.88	0.57	0.57	0.57	NA	NA	NA
AG-893-J08	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-M22	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-900-G16	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-920-L20	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	923	925	923	925	923	925	0.81	1	0.81	1	0.81	1	0.81	0.81	0.81	NA	NA	NA
AG-900-I19	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-A03	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	926	902	926	902	926	902	0.71	0.88	0.71	0.88	0.71	0.88	0.71	0.71	0.71	NA	NA	NA
AG-359-G17	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-426-M19	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-B06	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-C11	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-897-O16	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-O04	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	928	905	928	905	928	905	0.96	0.86	0.96	0.86	0.96	0.86	0.86	0.86	0.86	NA	NA	NA
AG-913-G10	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	928	927	928	927	928	927	0.96	0.87	0.96	0.87	0.96	0.87	0.87	0.87	0.87	NA	NA	NA
AG-918-E02	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-N07	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-A14	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	919	927	919	927	919	927	0.64	0.87	0.64	0.87	0.64	0.87	0.64	0.64	0.64	NA	NA	NA
AG-898-G21	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-909-F14	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-I02	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-359-O11	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-915-G14	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-E19	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-D23	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	903	927	903	927	903	927	0.61	0.87	0.61	0.87	0.61	0.87	0.61	0.61	0.61	NA	NA	NA
AG-426-E13	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	915	920	915	920	915	920	0.68	0.87	0.68	0.87	0.68	0.87	0.68	0.68	0.68	NA	NA	NA
AG-894-L19	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	902	927	902	927	902	927	0.57	0.87	0.57	0.87	0.57	0.87	0.57	0.57	0.57	NA	NA	NA
AG-913-I09	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	904	902	904	902	904	902	0.57	0.88	0.57	0.88	0.57	0.88	0.57	0.57	0.57	NA	NA	NA
AG-359-B05	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-B11	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-E10	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-L09	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-D14	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-J03	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-A06	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-K13	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-L11	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	901	923	901	923	901	923	0.86	0.87	0.86	0.87	0.86	0.87	0.86	0.86	0.86	NA	NA	NA
AG-897-G09	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-B06	I	SAG	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Ib.1	Ib.1.III	Pelagibacteraceae	Copiapelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	937	938	937	938	937	938	0.65	0.88	0.65	0.88	0.65	0.88	0.65	0.65	0.65	NA	NA	NA
AG-337-C09	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	886	877	886	877	886	877	0.99	1	0.99	1	0.99	1	0.99	0.99	0.99	NA	NA	NA
AG-404-P13	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	886	877	886	877	886	877	0.99	1	0.99	1	0.99	1	0.99	0.99	0.99	NA	NA	NA
AG-907-F09	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-G04	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-461-L09	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-L17	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-414-O09	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-L07	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-904-K03	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-F18	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	891	883	891	883	891	883	0.95	1	0.95	1	0.95	1	0.95	0.95	0.95	NA	NA	NA
AG-916-B15	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	884	881	884	881	884	881	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	NA	NA	NA
AG-896-F06	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	882	881	882	881	882	881	1	0.99	1	0.99	1	0.99	0.99	0.99	0.99	NA	NA	NA
AG-916-O20	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-901-I06	I	SAG	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Ib.2.a	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-C19	I	SAG	Ib.N10	Pelagibacteraceae	Fusipelagibacter	NA	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-L13	I	SAG	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-M19	I	SAG	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-F16	I	SAG	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-M05	I	SAG	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	tranquillus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
