genome	Clade1	Clade2	Subclade	Subgroup	Family	Genus	Species	Order	reference	type_strain_Freel_2024	type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source	completeness	contamination	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	N_ARSC	C_ARSC	S_ARSC	GC	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
AG-894-L17	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.88	0.04	0.967	97862	308.96243425995493	1271885	1331	28	235793	0.336307	3.127719	0.032493	29.52	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-414-O09	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	119	24.71	-67.07	100-200m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	86.49	0.31	0.965	85697	299.834680382072	1265326	1361	38	190988	0.335999	3.128044	0.032733	29.51	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-L07	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.96	0.07	0.966	338982	310.2884195193008	1318445	1373	17	409650	0.33556	3.129343	0.033064	29.53	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-904-K03	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	95.75	0.07	0.966	231641	304.98809523809524	1348513	1428	26	307964	0.337623	3.128345	0.033033	29.54	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-F18	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	86.01	0.01	0.961	72581	303.32693844924063	1180729	1251	27	212865	0.334744	3.120316	0.033071	29.73	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	891	883	891	883	891	883	0.95	1	0.95	1	0.95	1	0.95	0.95	0.95	NA	NA	NA
AG-916-B15	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.85	0.2	0.965	114099	304.2837632776935	1243303	1318	29	210185	0.334628	3.127122	0.033224	29.71	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	884	881	884	881	884	881	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	NA	NA	NA
AG-896-F06	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	92.7	0.08	0.964	415605	310.9393290506781	1351935	1401	9	563497	0.335741	3.136211	0.03283	29.45	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	882	881	882	881	882	881	1	0.99	1	0.99	1	0.99	0.99	0.99	0.99	NA	NA	NA
AG-916-O20	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	86.73	0.07	0.965	81998	300.6528735632184	1215504	1305	41	148426	0.33867	3.135299	0.032615	29.52	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-901-I06	I	Ib	Ib.2.I	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	88.01	0.09	0.968	354850	310.8498498498499	1279909	1332	10	529711	0.337367	3.137999	0.033122	29.44	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-C19	I	Ib	Ib.N10	Ib.N10	Pelagibacteraceae	Fusipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean	85.39	0.34	0.967	53121	292.22163588390504	1027347	1137	40	142529	0.344655	3.160699	0.031414	28.85	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-L13	I	Ib	Ib.N10	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.76	0	0.968	84444	306.62325174825173	1084004	1144	26	327652	0.342213	3.151907	0.031515	29.07	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-M19	I	Ib	Ib.N10	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	88.38	0.4	0.966	101609	301.9236577181208	1114171	1192	26	200477	0.342475	3.152619	0.03162	29	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-F16	I	Ib	Ib.N10	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	96.2	0.01	0.964	147447	299.6466826538769	1162775	1251	30	156182	0.342754	3.148774	0.031539	29.13	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-M05	I	Ib	Ib.N10	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Pelagibacterales	Pachiadaki et al., (2019)	TRUE	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.44	0.04	0.966	144210	302.5417661097852	1177254	1257	20	365125	0.342922	3.150374	0.031441	29.06	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-P02	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.55	0.02	0.969	116914	301.37424892703865	1082525	1165	24	208981	0.344463	3.159156	0.031173	28.74	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	874	957	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-426-F15	I	Ib	Ib.N7	Ib.N7	Pelagibacteraceae	Parvipelagibacter	dignotus	Pelagibacterales	Pachiadaki et al., (2019)	TRUE	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean	89.52	0.09	0.963	404457	303.9430950728661	1360204	1441	13	494381	0.337832	3.146125	0.032323	29.41	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-L07	I	Ib	Ib.2.N7	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	97.08	0.06	0.968	157079	308.49126803340926	1255748	1317	21	273403	0.338048	3.129439	0.032079	29.52	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-O08	I	Ib	Ib.2.N7	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.69	0.02	0.965	75369	304.12694704049846	1210555	1284	34	158108	0.337193	3.135711	0.032177	29.54	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-G09	I	Ib	Ib.2.N7	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87	0.15	0.967	130771	306.64767616191904	1266004	1334	19	355070	0.333938	3.127703	0.032705	29.66	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-B06	I	Ib	Ib.2.N7	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	92.23	0.02	0.967	98257	307.8038079470199	1150377	1208	32	332127	0.33655	3.122523	0.032434	29.72	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-915-G13	I	Ib	Ib.2.N7	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	89.62	0.5	0.964	95700	303.00987091875476	1237317	1317	31	199353	0.339782	3.140913	0.032477	29.32	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-365-D07	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	100	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.14	0	0.963	53323	303.6421524663677	1050652	1115	31	100971	0.346358	3.158125	0.031101	28.81	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-390-C19	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	91.69	0.04	0.963	61019	300.3517628205128	1164792	1248	39	100162	0.344695	3.15456	0.031244	28.77	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-422-N14	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	58	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	86.24	0	0.962	56295	295.766323024055	1069950	1164	40	141167	0.340711	3.14521	0.031944	29.05	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-426-G09	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean	87.38	0	0.965	63493	304.38961038961037	1162454	1232	38	136071	0.343541	3.155013	0.031664	28.77	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-414-M23	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	119	24.71	-67.07	100-200m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	87.62	0.01	0.964	63912	298.86241610738256	1104608	1192	38	116638	0.341485	3.15357	0.031302	28.68	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-439-O15	I	Ib	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	89.67	0.02	0.968	71929	300.1872303710095	1074931	1159	34	209794	0.340909	3.160467	0.031304	28.24	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-426-E17	I	Ib	Ib.4.I	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Pelagibacterales	Pachiadaki et al., (2019)	TRUE	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean	99.27	0.02	0.965	966325	306.03294892915983	1151069	1214	5	966325	0.345501	3.160721	0.031277	28.7	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-E06	I	Ib	Ib.4.I	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	88.85	0.03	0.967	220946	306.87230046948355	1010560	1065	12	371227	0.347069	3.162181	0.031409	28.74	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AG-426-E17	97.22405	97.46
AG-916-A21	I	Ib	Ib.4.I	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	86.38	0	0.963	93472	301.47222222222223	1044250	1116	25	133158	0.345383	3.16113	0.030905	28.72	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-325-E08	I	Ia	Ia.4.N2	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	14	-23.46	-88.77	0-100m	southern_tropical	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean	88.71	0.02	0.964	57404	299.7640653357532	1024954	1102	34	138492	0.341419	3.140584	0.03176	29.01	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-D02	I	Ia	Ia.4.N2	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.47	0.16	0.962	156301	297.9563392107473	1102506	1191	38	217774	0.339266	3.139087	0.03165	29.24	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	749	749	749	749	749	749	0.57	1	0.57	1	0.57	1	0.57	0.57	0.57	NA	NA	NA
AG-390-D15	I	Ia	Ia.4.N2	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.71	0	0.963	114242	298.3698175787728	1117043	1206	20	137540	0.340169	3.137842	0.032159	28.91	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-M02	I	Ia	NA	NA	Pelagibacteraceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	86.19	0.01	0.963	70865	292.71705069124425	986325	1085	41	169891	0.339812	3.133386	0.032606	29.07	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	744	749	NA	NA	NA	NA	0.98	1	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA
AG-390-J13	I	Ia	Ia.4.N2	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.95	0.03	0.966	265442	295.9362445414847	1049158	1145	18	323223	0.340065	3.138926	0.031544	28.81	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	749	749	749	749	749	749	0.57	1	0.57	1	0.57	1	0.57	0.57	0.57	NA	NA	NA
